;id;titulo;descricao;data_divulgacao;tipo_id;tipo;produto_id;nome_produto;alias_produto;descricao_produto;ano_referencia_inicio;mes_referencia_inicio;ano_referencia_fim;mes_referencia_fim;link
20;2729;Índice Nacional de Preços ao Consumidor Amplo;;12/05/2023 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2023;4;0;0;
21;2713;Índice Nacional de Preços ao Consumidor Amplo;;11/04/2023 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2023;3;0;0;
22;2703;Índice Nacional de Preços ao Consumidor Amplo;;10/03/2023 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2023;2;0;0;
23;2697;Índice Nacional de Preços ao Consumidor Amplo;;09/02/2023 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2023;1;0;0;
24;2199;Índice Nacional de Preços ao Consumidor Amplo;;10/01/2023 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;12;0;0;
25;2198;Índice Nacional de Preços ao Consumidor Amplo;;09/12/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;11;0;0;
26;2197;Índice Nacional de Preços ao Consumidor Amplo;;10/11/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;10;0;0;
27;2196;Índice Nacional de Preços ao Consumidor Amplo;;11/10/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;9;0;0;
28;2195;Índice Nacional de Preços ao Consumidor Amplo;;09/09/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;8;0;0;
29;2194;Índice Nacional de Preços ao Consumidor Amplo;;09/08/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;7;0;0;
